Fecha,Id,Jugador,Pareja,Equipo,Jugados,Ganados ,Puntos,Partida,Doble
1/31/2025,4,Jerry,Jorge,Jerry / Jorge,1,1,1,49,1
1/31/2025,4,Rober,Kilo,Rober / Kilo,1,0,-1,49,1
1/31/2025,5,Jorge,Piztache,Jorge / Piztache,1,0,-1,50,1
1/31/2025,5,Rober,Jerry,Rober / Jerry,1,1,1,50,1
1/31/2025,6,Jerry,Kilo,Jerry / Kilo,1,1,1,51,1
1/31/2025,6,Jorge,Piztache,Jorge / Piztache,1,0,-1,51,1
1/31/2025,7,Jerry,Piztache,Jerry / Piztache,1,1,2,52,1
1/31/2025,7,Rober,Kilo,Rober / Kilo,1,0,-2,52,1
1/31/2025,8,Jerry,Kilo,Jerry / Kilo,1,1,2,53,1
1/31/2025,8,Rober,Piztache,Rober / Piztache,1,0,-2,53,1
1/31/2025,9,Jerry,Kilo,Jerry / Kilo,1,1,2,54,1
1/31/2025,9,Jorge,Piztache,Jorge / Piztache,1,0,-2,54,1
2/7/2025,1,Jerry,Piztache,Jerry / Piztache,1,0,-2,57,1
2/7/2025,1,Jorge,Kilo,Jorge / Kilo,1,1,2,57,1
2/7/2025,2,Jerry,Jorge,Jerry / Jorge,1,1,2,58,1
2/7/2025,2,Kilo,Piztache,Kilo / Piztache,1,0,-2,58,1
2/7/2025,3,Jerry,Piztache,Jerry / Piztache,1,0,-2,59,1
2/7/2025,3,Jorge,Kilo,Jorge / Kilo,1,1,2,59,1
2/7/2025,4,Jerry,Piztache,Jerry / Piztache,1,1,2,60,1
2/7/2025,4,Jorge,Kilo,Jorge / Kilo,1,0,-2,60,1
2/7/2025,5,Jerry,Kilo,Jerry / Kilo,1,1,6,61,1
2/7/2025,5,Jorge,Piztache,Jorge / Piztache,1,0,-6,61,1
2/7/2025,6,Jerry,Kilo,Jerry / Kilo,1,1,6,62,1
2/7/2025,6,Jorge,Piztache,Jorge / Piztache,1,0,-6,62,1
2/7/2025,7,Jerry,Jorge,Jerry / Jorge,1,1,2,63,1
2/7/2025,7,Kilo,Piztache,Kilo / Piztache,1,0,-2,63,1
2/7/2025,8,Jerry,Piztache,Jerry / Piztache,1,0,-1,64,1
2/7/2025,8,Jorge,Kilo,Jorge / Kilo,1,1,1,64,1
2/21/2025,1,Jerry,Kilo,Jerry / Kilo,1,1,1,67,1
2/21/2025,1,Jorge,Piztache,Jorge / Piztache,1,0,-1,67,1
2/21/2025,2,Jerry,Kilo,Jerry / Kilo,1,1,1,68,1
2/21/2025,2,Jorge,Piztache,Jorge / Piztache,1,0,-1,68,1
2/21/2025,3,Jerry,Jorge,Jerry / Jorge,1,0,-1,69,1
2/21/2025,3,Kilo,Piztache,Kilo / Piztache,1,1,1,69,1
2/21/2025,4,Jerry,Jorge,Jerry / Jorge,1,1,2,70,1
2/21/2025,4,Kilo,Piztache,Kilo / Piztache,1,0,-2,70,1
2/21/2025,5,Jerry,Piztache,Jerry / Piztache,1,0,-1,71,1
2/21/2025,5,Jorge,Kilo,Jorge / Kilo,1,1,1,71,1
2/21/2025,6,Jerry,Piztache,Jerry / Piztache,1,0,-2,72,1
2/21/2025,6,Jorge,Kilo,Jorge / Kilo,1,1,2,72,1
2/21/2025,7,Jerry,Piztache,Jerry / Piztache,1,1,4,73,1
2/21/2025,7,Jorge,Kilo,Jorge / Kilo,1,0,-4,73,1
2/21/2025,8,Jerry,Jorge,Jerry / Jorge,1,0,-2,74,1
